Domain,IP Address,Registration Date
crowdstriker.com,3.64.163.50,2019-06-12T19
crovvdstrike.com,15.197.148.33,2015-08-01T18
xn--crodstrike-r29d.com,52.90.112.110,2023-12-23T00
xn--crowdstrke-r8a.com,15.197.148.33,2020-04-01T20
crowdstrilke.com,172.67.214.208,2024-02-20T17
crowdstrik.com,172.67.131.2,2016-11-11T17
crwdstrike.com,8.8.8.8,2020-01-23T17
crowdstroke.com,15.197.225.128,2014-07-11T23
crow.dstrike.com,54.161.222.85,Unknown
crowds.trike.com,64.190.63.222,Unknown
corwdstrike.com,96.126.123.244,2023-03-03T14
crowdstriek.com,165.160.13.20,2019-03-13T05
bsodsm8r.xamzgjedu.com,172.247.133.165,Unknown
clownstrike.co,3.33.251.168,2024-07-19T10
clownstrike.co.uk,185.199.222.21,Unknown
corwdstrike.com,173.255.194.134,2023-03-03T14
crovvdstrike.com,3.33.130.190,2015-08-01T18
crow.dstrike.com,54.209.32.212,Unknown
crowdforce.cloud,13.248.213.45,2024-07-17T17
crowdforce.digital,76.223.67.189,2024-07-17T17
crowdforce.info,13.248.213.45,2024-07-17T17
crowdforce.life,13.248.213.45,2024-07-17T17
crowdforce.ltd,13.248.213.45,2024-07-17T17
crowdforce.pro,13.248.213.45,2024-07-17T17
crowdforce.site,13.248.213.45,2024-07-17T17
crowdforce.support,13.248.213.45,2024-07-17T17
crowdforce.world,76.223.67.189,2024-07-17T17
crowdforce.xyz,13.248.213.45,2024-07-17T17
crowdforceltd.com,13.248.213.45,2024-07-17T17
crowdpass.live,192.64.119.154,2024-07-18T13
crowds.trike.com,64.190.63.222,Unknown
crowdstriek.com,165.160.13.20,2019-03-13T05
crowdstrik.com,172.67.131.2,2016-11-11T17
crowdstrike0day.com,198.185.159.145,2024-07-19T12
crowdstrikebluescreen.com,13.248.243.5,2024-07-19T09
crowdstrikebug.com,185.199.108.153,2024-07-19T17
crowdstrike-cloudtrail-storage-bb-126d5e.s3.us-west-1.amazonaws.com,3.5.163.130,Unknown
crowdstrikedoomsday.com,212.1.210.95,2024-07-19T10
crowdstrikedown.com,162.255.119.155,2024-07-19T17
crowdstrikedown.com,162.255.119.155,2024-07-19T17
crowdstrikefail.com,104.21.14.88,2024-07-19T17
crowdstrike-helpdesk.com,198.49.23.144,2024-07-19T14
crowdstrikeoutage.info,89.117.139.195,2024-07-19T10
crowdstriker.com,3.64.163.50,2019-06-12T19
crowdstriketoken.com,185.230.63.171,2024-07-19T08
crowdstrikeupdate.com,104.247.81.53,2024-07-19T07
crowdstrilke.com,172.67.214.208,2024-02-20T17
crowdstroke.com,15.197.225.128,2014-07-11T23
crwdstrike.com,8.8.8.8,2020-01-23T17
cyberstrike.cloud,15.197.148.33,2024-07-17T13
cyberstrike.one,3.33.130.190,2024-07-17T13
failstrike.com,172.67.216.164,2024-07-19T07
iscrowdstrikedown.com,93.95.229.36,2024-07-19T16
isitcrowdstrike.com,67.4.148.242,2024-07-19T17
microsoftcrowdstrike.com,198.185.159.144,2024-07-19T10
suportecrowdstrike.com,3.33.130.190,2024-07-19T18
supportportal-crowdstrike-com.translate.goog,74.125.136.132,Unknown
whatiscrowdstrike.com,145.131.1.37,2024-07-19T08
xn--crodstrike-r29d.com,52.90.112.110,2023-12-23T00
xn--crowdstrke-r8a.com,3.33.130.190,2020-04-01T20
britishairways.crowdstrike.feedback,3.134.125.175,2024-07-20T07
cloudstrike.website,192.64.119.9,2024-07-20T02
clownstrike.gg,198.54.116.145,Unknown
conflictstrike.com,185.230.63.171,2024-03-12T16
croudstrike.org,192.64.119.190,2024-07-20T02
crowdstrife.com,76.223.105.230,2024-07-19T22
crowdstrike.blue,91.195.240.123,2024-07-20T00
crowdstrike.bot,192.64.119.179,2024-07-19T17
crowdstrike.cam,162.255.119.241,2024-07-19T17
crowdstrike.develop.net,104.247.81.54,Unknown
crowdstrike.fail,172.67.184.97,2024-07-19T17
crowdstrike.fix.com,142.176.15.170,Unknown
crowdstrike.orora.group,35.81.42.29,Unknown
crowdstrikeclaim.com,54.84.104.245,2024-07-19T16
crowdstrikeeventshub.com,104.21.31.84,2024-03-07T19
crowdstrikefix.zip,198.185.159.144,2024-07-19T16
crowdstrikeoutage.com,192.64.119.34,2024-07-19T10
crowdstrike-solutions.nl,37.97.254.27,2020-03-17
crowdstroke.io,104.21.67.243,2024-07-20T02
crowdstroke.zip,192.64.119.125,2024-07-20T02
crowstrike.net,162.255.119.80,2024-07-19T23
crowstrike.org,192.64.119.254,2024-07-19T23
crudstrike.com,192.64.119.24,2024-07-20T02
fuckcrowdstrike.com.com,104.26.5.148,Unknown
pay.crowdstrife.com,34.234.126.233,Unknown
thecrowdstrike.com,15.197.148.33,2024-07-09T11
